frame_num,timestamp,fsm_state,theta,servo_angle,pid_integral,pid_last_error
62,2731.744862,LOCKED,87.9888,90.0000,0.000000,0.000000
63,2731.786205,LOCKED,87.7339,90.0000,0.000000,0.000000
64,2731.826419,LOCKED,86.9456,90.0000,0.000000,0.000000
65,2731.865081,LOCKED,87.5407,90.0000,0.000000,0.000000
66,2731.905973,LOCKED,86.9261,90.0000,0.000000,0.000000
67,2731.946454,LOCKED,86.1667,90.0000,0.000000,0.000000
68,2731.989214,LOCKED,87.4009,90.0000,0.000000,0.000000
69,2732.028424,LOCKED,87.2351,90.0000,0.000000,0.000000
70,2732.070748,LOCKED,89.6458,90.0000,0.000000,0.000000
71,2732.108848,LOCKED,88.6484,90.0000,0.000000,0.000000
72,2732.151501,LOCKED,88.6433,90.0000,0.000000,0.000000
73,2732.190024,LOCKED,88.5309,90.0000,0.000000,0.000000
74,2732.233357,LOCKED,88.6552,90.0000,0.000000,0.000000
75,2732.272648,LOCKED,88.4535,90.0000,0.000000,0.000000
76,2732.317009,LOCKED,88.5080,90.0000,0.000000,0.000000
77,2732.355672,LOCKED,88.9980,90.0000,0.000000,0.000000
78,2732.398245,LOCKED,88.7666,90.0000,0.000000,0.000000
79,2732.438054,LOCKED,88.7918,90.0000,0.000000,0.000000
80,2732.480704,LOCKED,90.0989,90.0000,0.000000,0.000000
81,2732.518078,LOCKED,90.2951,90.0000,0.000000,0.000000
82,2732.558193,LOCKED,90.0010,90.0000,0.000000,0.000000
83,2732.597500,LOCKED,87.8952,90.0000,0.000000,0.000000
84,2732.640204,LOCKED,87.9812,90.0000,0.000000,0.000000
85,2732.682128,LOCKED,88.3630,90.0000,0.000000,0.000000
86,2732.725594,LOCKED,88.6738,90.0000,0.000000,0.000000
87,2732.765636,LOCKED,88.6279,90.0000,0.000000,0.000000
88,2732.810558,LOCKED,88.9593,90.0000,0.000000,0.000000
89,2732.847765,LOCKED,89.9163,90.0000,0.000000,0.000000
90,2732.888593,LOCKED,88.8990,90.0000,0.000000,0.000000
91,2732.927898,LOCKED,89.4101,90.0000,0.000000,0.000000
92,2732.969587,LOCKED,88.7966,90.0000,0.000000,0.000000
93,2733.007864,LOCKED,88.6218,90.0000,0.000000,0.000000
94,2733.051555,LOCKED,88.4610,90.0000,0.000000,0.000000
95,2733.088331,LOCKED,88.1795,90.0000,0.000000,0.000000
96,2733.129800,LOCKED,88.1938,90.0000,0.000000,0.000000
97,2733.168208,LOCKED,87.9766,90.0000,0.000000,0.000000
98,2733.211465,LOCKED,88.0180,90.0000,0.000000,0.000000
99,2733.248334,LOCKED,88.5391,90.0000,0.000000,0.000000
100,2733.289208,LOCKED,88.6798,90.0000,0.000000,0.000000
101,2733.329929,LOCKED,88.7003,90.0000,0.000000,0.000000
102,2733.370965,LOCKED,88.6947,90.0000,0.000000,0.000000
103,2733.412297,LOCKED,89.2750,90.0000,0.000000,0.000000
104,2733.454645,LOCKED,89.3807,90.0000,0.000000,0.000000
105,2733.491878,LOCKED,89.5281,90.0000,0.000000,0.000000
106,2733.533771,LOCKED,89.4425,90.0000,0.000000,0.000000
107,2733.571892,LOCKED,89.5037,90.0000,0.000000,0.000000
108,2733.614406,LOCKED,88.8695,90.0000,0.000000,0.000000
109,2733.653177,LOCKED,88.2376,90.0000,0.000000,0.000000
110,2733.694709,LOCKED,87.8012,90.0000,0.000000,0.000000
111,2733.732288,LOCKED,88.7816,90.0000,0.000000,0.000000
112,2733.774409,LOCKED,87.7207,90.0000,0.000000,0.000000
113,2733.812971,LOCKED,86.6622,90.0000,0.000000,0.000000
114,2733.856205,LOCKED,87.1363,90.0000,0.000000,0.000000
115,2733.894160,LOCKED,86.0316,90.0000,0.000000,0.000000
116,2733.935188,LOCKED,87.7792,90.0000,0.000000,0.000000
117,2733.974143,LOCKED,86.8537,90.0000,0.000000,0.000000
118,2734.017849,LOCKED,86.2987,90.0000,0.000000,0.000000
119,2734.056105,LOCKED,85.9134,90.0000,0.000000,0.000000
120,2734.097349,LOCKED,86.0171,90.0000,0.000000,0.000000
121,2734.136909,LOCKED,86.0160,90.0000,0.000000,0.000000
122,2734.180373,LOCKED,85.9838,90.0000,0.000000,0.000000
123,2734.220870,LOCKED,85.9097,90.0000,0.000000,0.000000
124,2734.265857,LOCKED,86.0300,90.0000,0.000000,0.000000
125,2734.307629,LOCKED,86.1197,90.0000,0.000000,0.000000
126,2734.352221,LOCKED,86.6258,90.0000,0.000000,0.000000
127,2734.391803,LOCKED,86.7288,90.0000,0.000000,0.000000
128,2734.435493,LOCKED,87.2382,90.0000,0.000000,0.000000
129,2734.477887,LOCKED,87.2252,90.0000,0.000000,0.000000
130,2734.520285,LOCKED,87.0524,90.0000,0.000000,0.000000
131,2734.559956,LOCKED,86.8663,90.0000,0.000000,0.000000
132,2734.601798,LOCKED,86.8115,90.0000,0.000000,0.000000
133,2734.641598,LOCKED,87.2847,90.0000,0.000000,0.000000
134,2734.685242,LOCKED,87.5489,90.0000,0.000000,0.000000
135,2734.723460,LOCKED,87.8696,90.0000,0.000000,0.000000
136,2734.767099,LOCKED,87.2090,90.0000,0.000000,0.000000
137,2734.805823,LOCKED,88.7239,90.0000,0.000000,0.000000
138,2734.846774,LOCKED,88.3867,90.0000,0.000000,0.000000
139,2734.887110,LOCKED,87.3512,90.0000,0.000000,0.000000
140,2734.929136,LOCKED,87.8041,90.0000,0.000000,0.000000
141,2734.966556,LOCKED,87.7778,90.0000,0.000000,0.000000
142,2735.007005,LOCKED,87.5281,90.0000,0.000000,0.000000
143,2735.044953,LOCKED,87.4004,90.0000,0.000000,0.000000
144,2735.086057,LOCKED,88.4484,90.0000,0.000000,0.000000
145,2735.125101,LOCKED,88.1269,90.0000,0.000000,0.000000
146,2735.168339,LOCKED,88.2110,90.0000,0.000000,0.000000
