frame_num,timestamp,fsm_state,theta,servo_angle,pid_integral,pid_last_error
1,2729.222975,LOCKED,86.6442,90.0000,0.000000,0.000000
2,2729.299120,LOCKED,87.0276,90.0000,0.000000,0.000000
3,2729.341522,LOCKED,87.2418,90.0000,0.000000,0.000000
4,2729.383675,LOCKED,87.0287,90.0000,0.000000,0.000000
5,2729.425018,LOCKED,87.0121,90.0000,0.000000,0.000000
6,2729.463458,LOCKED,86.9165,90.0000,0.000000,0.000000
7,2729.502117,LOCKED,87.0069,90.0000,0.000000,0.000000
8,2729.541835,LOCKED,86.7237,90.0000,0.000000,0.000000
9,2729.581379,LOCKED,87.2187,90.0000,0.000000,0.000000
10,2729.621422,LOCKED,87.2201,90.0000,0.000000,0.000000
11,2729.660150,LOCKED,87.3259,90.0000,0.000000,0.000000
12,2729.701558,LOCKED,87.6687,90.0000,0.000000,0.000000
13,2729.740636,LOCKED,87.9599,90.0000,0.000000,0.000000
14,2729.782470,LOCKED,88.0350,90.0000,0.000000,0.000000
15,2729.821830,LOCKED,88.3570,90.0000,0.000000,0.000000
16,2729.862878,LOCKED,88.3861,90.0000,0.000000,0.000000
17,2729.898538,LOCKED,87.6925,90.0000,0.000000,0.000000
18,2729.939395,LOCKED,88.1075,90.0000,0.000000,0.000000
19,2729.980299,LOCKED,88.2905,90.0000,0.000000,0.000000
20,2730.020698,LOCKED,87.8410,90.0000,0.000000,0.000000
21,2730.058315,LOCKED,88.3211,90.0000,0.000000,0.000000
22,2730.099809,LOCKED,88.1796,90.0000,0.000000,0.000000
23,2730.146873,LOCKED,88.1334,90.0000,0.000000,0.000000
24,2730.187425,LOCKED,88.1700,90.0000,0.000000,0.000000
25,2730.224507,LOCKED,88.3645,90.0000,0.000000,0.000000
26,2730.267735,LOCKED,88.2863,90.0000,0.000000,0.000000
27,2730.306479,LOCKED,88.3586,90.0000,0.000000,0.000000
28,2730.347593,LOCKED,87.6806,90.0000,0.000000,0.000000
29,2730.387496,LOCKED,86.1523,90.0000,0.000000,0.000000
30,2730.428650,GAPPING,,90.0000,0.000000,0.000000
31,2730.467132,GAPPING,89.0393,90.0000,0.000000,0.000000
32,2730.510268,GAPPING,89.7801,90.0000,0.000000,0.000000
33,2730.549703,LOCKED,89.6235,90.0000,0.000000,0.000000
34,2730.591340,LOCKED,89.7102,90.0000,0.000000,0.000000
35,2730.630513,LOCKED,90.5444,90.0000,0.000000,0.000000
36,2730.671492,LOCKED,90.8190,90.0000,0.000000,0.000000
37,2730.710754,LOCKED,90.1355,90.0000,0.000000,0.000000
38,2730.753946,LOCKED,90.1330,90.0000,0.000000,0.000000
39,2730.791449,LOCKED,90.9348,90.0000,0.000000,0.000000
40,2730.834138,LOCKED,90.7303,90.0000,0.000000,0.000000
41,2730.872726,LOCKED,91.2361,90.0000,0.000000,0.000000
42,2730.914684,LOCKED,90.8802,90.0000,0.000000,0.000000
43,2730.954643,LOCKED,90.7085,90.0000,0.000000,0.000000
44,2730.996439,LOCKED,90.7577,90.0000,0.000000,0.000000
45,2731.035711,LOCKED,90.5352,90.0000,0.000000,0.000000
46,2731.081843,LOCKED,90.3752,90.0000,0.000000,0.000000
47,2731.118636,LOCKED,90.2481,90.0000,0.000000,0.000000
48,2731.158112,LOCKED,90.6354,90.0000,0.000000,0.000000
49,2731.195764,LOCKED,90.3651,90.0000,0.000000,0.000000
50,2731.237122,LOCKED,89.3882,90.0000,0.000000,0.000000
51,2731.274972,LOCKED,89.5944,90.0000,0.000000,0.000000
52,2731.316230,LOCKED,89.9841,90.0000,0.000000,0.000000
53,2731.362187,LOCKED,89.6622,90.0000,0.000000,0.000000
54,2731.404705,LOCKED,88.8358,90.0000,0.000000,0.000000
55,2731.443610,LOCKED,88.8288,90.0000,0.000000,0.000000
56,2731.485721,LOCKED,88.7329,90.0000,0.000000,0.000000
57,2731.524498,LOCKED,88.5555,90.0000,0.000000,0.000000
58,2731.566488,LOCKED,88.5359,90.0000,0.000000,0.000000
59,2731.609361,LOCKED,88.3197,90.0000,0.000000,0.000000
60,2731.649973,LOCKED,88.2751,90.0000,0.000000,0.000000
61,2731.699249,LOCKED,87.6968,90.0000,0.000000,0.000000
